customer_id,customer_type,jurisdiction,pep_flag,adverse_media_flag,expected_monthly_volume,account_age_days,kyc_quality_score,external_geo_risk,segment_id
C0052,consumer,BR,False,False,75000,113,0.952,0.073,consumer_wallet
C0053,consumer,GB,False,True,10000,789,0.633,0.054,consumer_wallet
C0054,merchant,MX,False,False,10000,73,0.916,0.792,merchant_payout
C0055,merchant,MX,False,False,5000,154,0.807,0.646,smb_card
C0056,corporate,US,False,False,5000,328,0.883,0.834,smb_card
C0057,consumer,CA,False,False,25000,852,0.684,0.123,consumer_wallet
C0058,corporate,US,False,False,150000,689,0.674,0.807,consumer_wallet
C0059,merchant,GB,False,True,5000,182,0.808,0.373,smb_card
C0060,consumer,US,False,False,75000,516,0.846,0.558,smb_card
C0061,consumer,US,False,False,150000,48,0.775,0.429,consumer_wallet
C0062,merchant,CA,False,False,25000,784,0.737,0.68,smb_card
C0063,consumer,CA,False,False,150000,885,0.948,0.787,smb_card
C0064,consumer,MX,False,False,10000,595,0.663,0.108,merchant_payout
C0065,consumer,US,False,False,75000,380,0.895,0.062,merchant_payout
C0066,corporate,US,False,False,75000,148,0.755,0.817,cross_border
C0067,merchant,US,False,False,75000,468,0.857,0.059,consumer_wallet
C0068,consumer,US,False,False,150000,1187,0.826,0.721,cross_border
C0069,consumer,US,False,False,150000,907,0.78,0.425,consumer_wallet
C0070,consumer,BR,False,False,5000,354,0.801,0.519,smb_card
C0071,consumer,US,False,False,25000,780,0.868,0.66,consumer_wallet
C0072,consumer,US,False,False,10000,581,0.904,0.732,smb_card
C0073,corporate,CA,False,False,25000,601,0.817,0.134,consumer_wallet
C0074,corporate,CA,False,False,10000,233,0.629,0.792,smb_card
C0075,consumer,CA,False,False,5000,845,0.854,0.835,smb_card
C0076,consumer,GB,False,False,10000,1156,0.909,0.743,consumer_wallet
C0077,merchant,US,False,False,25000,1163,0.984,0.281,merchant_payout
C0078,merchant,US,False,False,25000,933,0.801,0.838,smb_card
C0079,corporate,US,False,False,10000,668,0.917,0.79,merchant_payout
C0080,consumer,US,False,False,150000,811,0.884,0.669,cross_border
C0081,merchant,MX,False,False,5000,748,0.938,0.054,smb_card
C0082,merchant,US,False,False,75000,807,0.708,0.732,consumer_wallet
C0083,corporate,US,False,False,5000,333,0.948,0.2,consumer_wallet
C0084,consumer,GB,False,True,75000,359,0.771,0.159,smb_card
C0085,corporate,GB,False,False,25000,1098,0.804,0.157,consumer_wallet
C0086,consumer,US,False,False,150000,763,0.747,0.386,cross_border
C0087,merchant,US,False,False,10000,285,0.74,0.777,smb_card
C0088,merchant,CA,False,False,150000,293,0.739,0.174,cross_border
C0089,consumer,CA,False,False,75000,528,0.796,0.846,merchant_payout
C0090,merchant,BR,False,False,5000,676,0.658,0.572,cross_border
C0091,consumer,US,False,True,75000,128,0.635,0.247,consumer_wallet
C0092,consumer,US,False,False,150000,138,0.762,0.098,merchant_payout
C0093,consumer,US,False,False,5000,6,0.661,0.74,consumer_wallet
C0094,consumer,US,False,False,25000,937,0.931,0.258,consumer_wallet
C0095,consumer,US,False,False,75000,400,0.964,0.089,smb_card
C0096,merchant,US,False,False,5000,1102,0.623,0.201,consumer_wallet
C0097,consumer,CA,False,False,10000,710,0.934,0.054,cross_border
C0098,merchant,US,False,False,10000,308,0.96,0.414,smb_card
C0099,corporate,US,False,False,25000,960,0.842,0.223,smb_card
C0100,consumer,US,False,False,10000,27,0.681,0.63,merchant_payout
C0101,merchant,US,False,False,10000,155,0.673,0.604,consumer_wallet
C0102,consumer,BR,False,False,25000,1191,0.836,0.152,cross_border
C0103,corporate,US,False,False,75000,65,0.84,0.286,merchant_payout
C0104,merchant,US,False,False,150000,1049,0.714,0.539,smb_card
C0105,consumer,GB,False,False,10000,911,0.984,0.385,smb_card
C0106,consumer,MX,False,False,150000,117,0.949,0.366,merchant_payout
C0107,consumer,BR,False,False,150000,1031,0.958,0.22,smb_card
C0108,merchant,MX,False,False,5000,891,0.891,0.676,smb_card
C0109,consumer,BR,False,False,25000,124,0.696,0.645,consumer_wallet
C0110,corporate,US,False,False,75000,476,0.738,0.537,smb_card
C0111,consumer,CA,False,False,5000,240,0.76,0.365,consumer_wallet
C0112,consumer,GB,False,True,75000,296,0.657,0.653,cross_border
C0113,consumer,US,False,False,5000,564,0.716,0.086,smb_card
C0114,corporate,CA,False,False,10000,306,0.729,0.662,cross_border
C0115,corporate,BR,True,True,25000,90,0.671,0.294,smb_card
C0116,consumer,MX,False,False,25000,202,0.714,0.178,cross_border
C0117,merchant,GB,False,False,150000,488,0.901,0.668,consumer_wallet
C0118,corporate,US,False,False,10000,321,0.933,0.194,smb_card
C0119,consumer,US,False,False,25000,1050,0.746,0.475,consumer_wallet
C0120,consumer,US,True,False,5000,933,0.812,0.442,smb_card
