transaction_id,account_id,customer_id,timestamp_utc,direction,amount,currency,counterparty_id,counterparty_country,rail,status,device_id
T000903,A0027,C0027,2025-10-03T13:00:00+00:00,inbound,2066.26,USD,CP0139,US,ach,settled,D0050
T001920,A0058,C0058,2025-10-03T13:00:00+00:00,inbound,694.91,USD,CP0045,BR,card,settled,D0036
T003800,A0120,C0120,2025-10-03T14:00:00+00:00,inbound,496.15,USD,CP0078,US,card,settled,D0033
T001069,A0032,C0032,2025-10-03T17:00:00+00:00,inbound,1768.4,GBP,CP0106,US,card,settled,D0020
T002099,A0064,C0064,2025-10-03T20:00:00+00:00,outbound,850.35,GBP,CP0143,CA,card,settled,D0043
T002174,A0067,C0067,2025-10-03T20:00:00+00:00,outbound,953.48,USD,CP0015,US,p2p,pending,D0038
T003611,A0114,C0114,2025-10-03T21:00:00+00:00,outbound,602.34,USD,CP0042,US,payout,settled,D0007
T001950,A0060,C0060,2025-10-03T21:00:00+00:00,outbound,1602.36,USD,CP0021,US,wire,settled,D0006
T003171,A0101,C0101,2025-10-03T23:00:00+00:00,outbound,1818.23,USD,CP0032,MX,card,settled,D0046
T000977,A0029,C0029,2025-10-03T23:00:00+00:00,outbound,2643.5,CAD,CP0091,MX,card,settled,D0022
T003660,A0115,C0115,2025-10-04T00:00:00+00:00,outbound,2277.25,USD,CP0125,US,p2p,settled,D0044
T001021,A0031,C0031,2025-10-04T01:00:00+00:00,outbound,729.05,USD,CP0046,US,card,settled,D0047
T000347,A0011,C0011,2025-10-04T06:00:00+00:00,inbound,2553.4,USD,CP0051,CA,p2p,settled,D0046
T001390,A0041,C0041,2025-10-04T07:00:00+00:00,inbound,844.48,USD,CP0063,BR,p2p,settled,D0021
T001035,A0031,C0031,2025-10-04T09:00:00+00:00,inbound,1479.29,USD,CP0117,BR,card,settled,D0019
T003610,A0114,C0114,2025-10-04T12:00:00+00:00,outbound,604.45,USD,CP0108,US,card,pending,D0053
T001333,A0040,C0040,2025-10-04T12:00:00+00:00,outbound,890.69,USD,CP0010,US,ach,pending,D0040
T000853,A0026,C0026,2025-10-04T14:00:00+00:00,outbound,1608.28,USD,CP0034,PA,ach,settled,D0032
T000369,A0011,C0011,2025-10-04T14:00:00+00:00,outbound,490.86,USD,CP0098,US,card,settled,D0017
T001025,A0031,C0031,2025-10-04T15:00:00+00:00,inbound,713.09,USD,CP0028,GB,ach,settled,D0033
T000713,A0021,C0021,2025-10-04T16:00:00+00:00,inbound,312.25,USD,CP0127,CA,ach,settled,D0033
T000782,A0023,C0023,2025-10-04T16:00:00+00:00,inbound,166.38,USD,CP0089,US,card,settled,D0016
T003686,A0116,C0116,2025-10-04T17:00:00+00:00,inbound,715.71,CAD,CP0094,US,p2p,settled,D0050
T003706,A0117,C0117,2025-10-04T19:00:00+00:00,outbound,1107.87,USD,CP0046,US,wire,settled,D0050
T002566,A0080,C0080,2025-10-04T20:00:00+00:00,outbound,1624.75,CAD,CP0122,GB,wire,settled,D0035
T001941,A0059,C0059,2025-10-04T23:00:00+00:00,outbound,447.17,USD,CP0064,BR,wire,failed,D0026
T001341,A0040,C0040,2025-10-05T00:00:00+00:00,outbound,950.91,GBP,CP0045,GB,payout,refund,D0013
T003378,A0108,C0108,2025-10-05T00:00:00+00:00,inbound,1213.66,USD,CP0112,US,card,settled,D0023
T003040,A0096,C0096,2025-10-05T02:00:00+00:00,outbound,1176.14,USD,CP0042,CA,p2p,pending,D0033
T003091,A0098,C0098,2025-10-05T03:00:00+00:00,outbound,2108.0,USD,CP0124,PA,card,pending,D0049
T002234,A0069,C0069,2025-10-05T04:00:00+00:00,inbound,798.45,USD,CP0129,MX,ach,settled,D0020
T003173,A0101,C0101,2025-10-05T05:00:00+00:00,inbound,876.04,USD,CP0029,US,p2p,settled,D0006
T003776,A0119,C0119,2025-10-05T07:00:00+00:00,outbound,1066.32,USD,CP0057,MX,ach,failed,D0009
T003073,A0097,C0097,2025-10-05T07:00:00+00:00,outbound,1428.65,USD,CP0061,US,card,failed,D0052
T002024,A0063,C0063,2025-10-05T08:00:00+00:00,inbound,1547.39,USD,CP0116,GB,wire,settled,D0019
T000920,A0027,C0027,2025-10-05T09:00:00+00:00,inbound,861.66,USD,CP0146,GB,ach,settled,D0032
T000136,A0004,C0004,2025-10-05T09:00:00+00:00,inbound,1372.4,GBP,CP0044,US,card,settled,D0015
T003315,A0106,C0106,2025-10-05T10:00:00+00:00,inbound,332.99,USD,CP0071,GB,p2p,settled,D0022
T002913,A0092,C0092,2025-10-05T10:00:00+00:00,outbound,545.84,GBP,CP0046,US,p2p,settled,D0022
T001398,A0042,C0042,2025-10-05T13:00:00+00:00,outbound,793.96,USD,CP0061,US,wire,refund,D0002
T003110,A0098,C0098,2025-10-05T13:00:00+00:00,outbound,915.22,USD,CP0099,BR,p2p,refund,D0053
T003705,A0117,C0117,2025-10-05T20:00:00+00:00,outbound,323.22,USD,CP0119,CA,ach,settled,D0019
T001850,A0056,C0056,2025-10-05T23:00:00+00:00,inbound,595.75,USD,CP0119,GB,ach,settled,D0027
T000684,A0020,C0020,2025-10-05T23:00:00+00:00,inbound,661.87,USD,CP0100,US,ach,reversed,D0018
T000409,A0012,C0012,2025-10-06T00:00:00+00:00,inbound,1322.53,USD,CP-HIGH-RISK-HUB,CA,p2p,settled,D0028
T000183,A0005,C0005,2025-10-06T02:00:00+00:00,inbound,10780.38,USD,CP0013,BR,wire,settled,D0031
T000075,A0002,C0002,2025-10-06T03:00:00+00:00,outbound,3255.58,USD,CP0110,GB,p2p,settled,D0032
T002492,A0077,C0077,2025-10-06T04:00:00+00:00,outbound,1951.07,USD,CP0089,PA,card,settled,D0020
T001040,A0031,C0031,2025-10-06T04:00:00+00:00,inbound,910.1,USD,CP0059,BR,card,settled,D0013
T003210,A0102,C0102,2025-10-06T06:00:00+00:00,outbound,269.35,GBP,CP0127,GB,ach,settled,D0011
T002581,A0081,C0081,2025-10-06T07:00:00+00:00,outbound,467.8,CAD,CP0012,MX,wire,settled,D0028
T000402,A0012,C0012,2025-10-06T08:00:00+00:00,inbound,371.58,USD,CP0122,US,payout,settled,D0050
T002064,A0063,C0063,2025-10-06T12:00:00+00:00,inbound,2504.22,USD,CP0015,US,card,settled,D0034
T000241,A0006,C0006,2025-10-06T15:00:00+00:00,inbound,667.28,USD,CP0006,US,p2p,settled,D0005
T001615,A0048,C0048,2025-10-06T17:00:00+00:00,outbound,1567.3,USD,CP0109,US,wire,settled,D0051
T003441,A0109,C0109,2025-10-06T17:00:00+00:00,outbound,879.9,GBP,CP0049,US,card,refund,D0027
T000190,A0005,C0005,2025-10-06T18:00:00+00:00,inbound,227.34,GBP,CP0089,US,wire,settled,D0048
T002812,A0090,C0090,2025-10-06T18:00:00+00:00,inbound,2990.13,USD,CP0082,GB,payout,settled,D0017
T002471,A0077,C0077,2025-10-06T19:00:00+00:00,outbound,744.92,USD,CP0031,BR,ach,reversed,D0017
T001503,A0045,C0045,2025-10-06T21:00:00+00:00,outbound,1638.41,USD,CP0080,US,p2p,settled,D0052
T000348,A0011,C0011,2025-10-06T22:00:00+00:00,outbound,315.91,CAD,CP0042,US,p2p,settled,D0039
T000604,A0018,C0018,2025-10-06T23:00:00+00:00,outbound,956.67,USD,CP0049,GB,ach,settled,D0028
T003606,A0113,C0113,2025-10-06T23:00:00+00:00,outbound,601.33,USD,CP0044,US,ach,settled,D0012
T001385,A0041,C0041,2025-10-06T23:00:00+00:00,inbound,3765.1,USD,CP0026,US,card,settled,D0031
T000973,A0029,C0029,2025-10-07T00:00:00+00:00,outbound,1795.42,USD,CP0095,PA,p2p,settled,D0017
T002479,A0077,C0077,2025-10-07T00:00:00+00:00,outbound,893.13,USD,CP0105,US,card,settled,D0004
T000027,A0001,C0001,2025-10-07T01:00:00+00:00,outbound,2788.64,CAD,CP0004,US,ach,settled,D0031
T000614,A0019,C0019,2025-10-07T03:00:00+00:00,outbound,592.16,CAD,CP0133,US,ach,reversed,D0044
T002381,A0074,C0074,2025-10-07T04:00:00+00:00,outbound,1360.05,USD,CP0023,PA,card,settled,D0011
T003420,A0108,C0108,2025-10-07T04:00:00+00:00,inbound,9193.32,CAD,CP0056,CA,card,settled,D0053
T001028,A0031,C0031,2025-10-07T05:00:00+00:00,inbound,71.35,USD,CP0007,BR,p2p,settled,D0006
T002962,A0093,C0093,2025-10-07T08:00:00+00:00,inbound,1563.77,USD,CP0105,CA,wire,settled,D0037
T002071,A0064,C0064,2025-10-07T08:00:00+00:00,outbound,517.89,USD,CP0146,US,payout,settled,D0045
T002203,A0068,C0068,2025-10-07T10:00:00+00:00,inbound,2805.13,USD,CP0025,CA,ach,pending,D0046
T002890,A0092,C0092,2025-10-07T10:00:00+00:00,outbound,974.69,USD,CP0053,US,card,chargeback,D0011
T003726,A0117,C0117,2025-10-07T11:00:00+00:00,outbound,2262.41,USD,CP0096,US,card,settled,D0017
T002793,A0090,C0090,2025-10-07T11:00:00+00:00,inbound,357.82,CAD,CP-HIGH-RISK-HUB,US,p2p,settled,D0022
T002176,A0067,C0067,2025-10-07T12:00:00+00:00,inbound,1421.89,USD,CP0089,US,wire,failed,D0036
T002026,A0063,C0063,2025-10-07T13:00:00+00:00,inbound,2083.66,CAD,CP0084,CA,ach,settled,D0007
T000838,A0025,C0025,2025-10-07T14:00:00+00:00,inbound,558.16,USD,CP0108,GB,card,settled,D0020
T001351,A0041,C0041,2025-10-07T15:00:00+00:00,inbound,502.5,USD,CP0136,MX,p2p,settled,D0019
T000570,A0017,C0017,2025-10-07T15:00:00+00:00,outbound,276.54,USD,CP0098,MX,card,settled,D0025
T002313,A0072,C0072,2025-10-07T16:00:00+00:00,inbound,253.49,USD,CP0050,GB,card,settled,D0032
T002308,A0072,C0072,2025-10-07T16:00:00+00:00,inbound,695.1,GBP,CP0065,BR,ach,settled,D0025
T000771,A0022,C0022,2025-10-07T17:00:00+00:00,outbound,289.62,USD,CP0075,BR,wire,settled,D0002
T000971,A0029,C0029,2025-10-07T18:00:00+00:00,outbound,1926.54,USD,CP0012,US,p2p,settled,D0008
T002848,A0091,C0091,2025-10-07T18:00:00+00:00,outbound,890.62,USD,CP0100,US,ach,settled,D0011
T000154,A0004,C0004,2025-10-07T19:00:00+00:00,inbound,255.03,USD,CP0125,US,wire,refund,D0042
T002513,A0078,C0078,2025-10-07T20:00:00+00:00,inbound,292.44,USD,CP0070,US,p2p,settled,D0048
T001400,A0042,C0042,2025-10-07T21:00:00+00:00,inbound,793.41,USD,CP0006,GB,card,settled,D0046
T001576,A0047,C0047,2025-10-07T22:00:00+00:00,outbound,1180.32,USD,CP0099,US,ach,settled,D0006
T003191,A0102,C0102,2025-10-07T22:00:00+00:00,inbound,261.91,CAD,CP0111,US,p2p,settled,D0014
T000746,A0022,C0022,2025-10-07T23:00:00+00:00,outbound,1221.2,USD,CP0019,US,p2p,settled,D0015
T002068,A0063,C0063,2025-10-08T00:00:00+00:00,outbound,2328.04,USD,CP0131,US,wire,settled,D0024
T002931,A0092,C0092,2025-10-08T00:00:00+00:00,inbound,5609.59,USD,CP0007,BR,payout,settled,D0009
T002342,A0073,C0073,2025-10-08T00:00:00+00:00,inbound,828.1,USD,CP0063,MX,p2p,settled,D0050
T000507,A0014,C0014,2025-10-08T02:00:00+00:00,inbound,548.37,USD,CP0143,US,payout,pending,D0041
T000775,A0023,C0023,2025-10-08T03:00:00+00:00,inbound,923.16,USD,CP0043,US,wire,settled,D0050
T003603,A0113,C0113,2025-10-08T05:00:00+00:00,outbound,2402.73,USD,CP0078,US,ach,refund,D0050
T002857,A0091,C0091,2025-10-08T07:00:00+00:00,outbound,810.24,GBP,CP0105,US,ach,failed,D0043
T003680,A0116,C0116,2025-10-08T08:00:00+00:00,inbound,1931.22,USD,CP0002,US,payout,settled,D0016
T000437,A0012,C0012,2025-10-08T08:00:00+00:00,inbound,910.22,USD,CP0036,US,ach,settled,D0028
T003416,A0108,C0108,2025-10-08T09:00:00+00:00,inbound,957.37,USD,CP0081,MX,payout,settled,D0017
T000021,A0001,C0001,2025-10-08T11:00:00+00:00,outbound,1472.86,USD,CP0142,US,payout,settled,D0029
T002711,A0087,C0087,2025-10-08T12:00:00+00:00,inbound,848.26,CAD,CP0119,US,payout,settled,D0049
T002523,A0078,C0078,2025-10-08T13:00:00+00:00,inbound,343.33,USD,CP0087,CA,ach,settled,D0001
T000404,A0012,C0012,2025-10-08T15:00:00+00:00,inbound,1966.94,USD,CP-HIGH-RISK-HUB,US,card,settled,D0001
T000368,A0011,C0011,2025-10-08T16:00:00+00:00,inbound,711.9,USD,CP0136,US,ach,settled,D0040
T000445,A0013,C0013,2025-10-08T17:00:00+00:00,outbound,472.63,USD,CP0093,PA,card,pending,D0005
T003796,A0120,C0120,2025-10-08T19:00:00+00:00,outbound,2952.4,GBP,CP0115,US,p2p,reversed,D0050
T002307,A0072,C0072,2025-10-08T19:00:00+00:00,inbound,3312.99,USD,CP0035,MX,ach,settled,D0004
T000690,A0020,C0020,2025-10-08T20:00:00+00:00,outbound,413.41,USD,CP0011,US,card,refund,D0045
T003784,A0119,C0119,2025-10-08T22:00:00+00:00,outbound,1813.3,GBP,CP0036,US,p2p,settled,D0012
T001753,A0053,C0053,2025-10-08T22:00:00+00:00,outbound,836.51,USD,CP0015,US,ach,settled,D0042
T000623,A0019,C0019,2025-10-08T23:00:00+00:00,inbound,2236.49,USD,CP0102,BR,ach,settled,D0015
T000449,A0013,C0013,2025-10-09T00:00:00+00:00,outbound,569.65,USD,CP0076,US,card,settled,D0019
T001148,A0035,C0035,2025-10-09T01:00:00+00:00,inbound,1782.78,USD,CP0016,US,p2p,settled,D0050
T001325,A0040,C0040,2025-10-09T02:00:00+00:00,inbound,2827.05,CAD,CP0019,GB,card,settled,D0017
T003427,A0109,C0109,2025-10-09T03:00:00+00:00,outbound,1451.69,USD,CP0125,CA,ach,settled,D0039
T000459,A0013,C0013,2025-10-09T03:00:00+00:00,inbound,2069.63,GBP,CP0137,BR,p2p,pending,D0023
T001933,A0059,C0059,2025-10-09T05:00:00+00:00,inbound,697.09,USD,CP0100,MX,card,settled,D0035
T000906,A0027,C0027,2025-10-09T09:00:00+00:00,outbound,974.86,USD,CP0098,CA,ach,settled,D0010
T003025,A0096,C0096,2025-10-09T09:00:00+00:00,inbound,455.2,USD,CP0070,US,payout,settled,D0030
T003469,A0110,C0110,2025-10-09T09:00:00+00:00,outbound,914.82,USD,CP0007,BR,ach,settled,D0019
T003361,A0107,C0107,2025-10-09T10:00:00+00:00,inbound,1976.76,CAD,CP0051,MX,p2p,settled,D0041
T000543,A0016,C0016,2025-10-09T10:00:00+00:00,inbound,860.14,GBP,CP0042,BR,payout,settled,D0002
T003669,A0116,C0116,2025-10-09T11:00:00+00:00,outbound,368.27,CAD,CP0114,US,ach,settled,D0044
T002680,A0085,C0085,2025-10-09T12:00:00+00:00,inbound,1156.49,USD,CP0004,US,card,settled,D0019
T002940,A0093,C0093,2025-10-09T12:00:00+00:00,inbound,571.43,USD,CP0080,US,p2p,settled,D0035
T002439,A0076,C0076,2025-10-09T12:00:00+00:00,outbound,802.91,USD,CP0082,US,p2p,settled,D0053
T000708,A0021,C0021,2025-10-09T14:00:00+00:00,outbound,1567.3,USD,CP0076,US,payout,settled,D0012
T000370,A0011,C0011,2025-10-09T15:00:00+00:00,inbound,559.57,GBP,CP0062,US,card,settled,D0020
T000379,A0011,C0011,2025-10-09T16:00:00+00:00,inbound,740.53,USD,CP0074,PA,card,settled,D0025
T003124,A0099,C0099,2025-10-09T16:00:00+00:00,inbound,1884.87,GBP,CP0003,CA,p2p,failed,D0019
T003473,A0110,C0110,2025-10-09T17:00:00+00:00,outbound,1166.71,CAD,CP0044,US,ach,settled,D0001
T002400,A0074,C0074,2025-10-09T19:00:00+00:00,outbound,290.14,USD,CP0117,CA,p2p,settled,D0048
T001772,A0054,C0054,2025-10-09T19:00:00+00:00,inbound,1074.86,USD,CP0048,US,card,settled,D0024
T003076,A0098,C0098,2025-10-10T00:00:00+00:00,outbound,1035.42,CAD,CP0069,GB,card,settled,D0008
T003529,A0111,C0111,2025-10-10T00:00:00+00:00,inbound,1785.65,USD,CP0061,US,ach,settled,D0029
T001493,A0045,C0045,2025-10-10T00:00:00+00:00,inbound,2386.76,USD,CP0033,CA,ach,refund,D0017
T003308,A0106,C0106,2025-10-10T01:00:00+00:00,outbound,1827.38,USD,CP0136,CA,ach,settled,D0033
T002863,A0091,C0091,2025-10-10T01:00:00+00:00,inbound,705.99,GBP,CP0141,CA,payout,settled,D0006
T000680,A0020,C0020,2025-10-10T02:00:00+00:00,inbound,316.66,GBP,CP0115,BR,p2p,settled,D0008
T002245,A0070,C0070,2025-10-10T04:00:00+00:00,inbound,848.34,USD,CP0015,US,ach,settled,D0052
T003382,A0108,C0108,2025-10-10T08:00:00+00:00,outbound,768.72,USD,CP0066,CA,ach,settled,D0051
T001412,A0042,C0042,2025-10-10T13:00:00+00:00,inbound,553.79,USD,CP0085,BR,card,settled,D0042
T001659,A0049,C0049,2025-10-10T14:00:00+00:00,outbound,168.03,USD,CP0072,US,card,settled,D0026
T002117,A0065,C0065,2025-10-10T16:00:00+00:00,inbound,1738.71,USD,CP0099,US,wire,settled,D0036
T003370,A0108,C0108,2025-10-10T16:00:00+00:00,outbound,2222.34,CAD,CP0003,US,card,settled,D0024
T000907,A0027,C0027,2025-10-10T17:00:00+00:00,inbound,6001.74,USD,CP0094,BR,wire,settled,D0004
T000450,A0013,C0013,2025-10-10T17:00:00+00:00,outbound,453.87,USD,CP0080,CA,wire,settled,D0009
T001168,A0035,C0035,2025-10-10T17:00:00+00:00,outbound,2457.5,USD,CP0126,GB,ach,chargeback,D0003
T002528,A0079,C0079,2025-10-10T18:00:00+00:00,inbound,2020.88,USD,CP0123,MX,card,settled,D0045
T003423,A0109,C0109,2025-10-10T19:00:00+00:00,outbound,853.0,USD,CP0109,US,card,settled,D0012
T002520,A0078,C0078,2025-10-10T19:00:00+00:00,outbound,756.42,USD,CP0134,US,wire,settled,D0014
T001032,A0031,C0031,2025-10-10T19:00:00+00:00,outbound,1697.82,USD,CP0039,US,payout,settled,D0053
T001228,A0037,C0037,2025-10-10T20:00:00+00:00,inbound,1380.18,USD,CP0001,US,ach,settled,D0022
T002128,A0065,C0065,2025-10-10T23:00:00+00:00,outbound,10698.27,USD,CP0111,US,wire,settled,D0038
T003187,A0101,C0101,2025-10-10T23:00:00+00:00,outbound,940.89,USD,CP0014,GB,card,settled,D0013
T003099,A0098,C0098,2025-10-11T01:00:00+00:00,outbound,1009.76,GBP,CP0065,US,p2p,settled,D0005
T002446,A0076,C0076,2025-10-11T01:00:00+00:00,inbound,1503.04,USD,CP0037,US,ach,settled,D0027
T001429,A0042,C0042,2025-10-11T02:00:00+00:00,inbound,1260.48,USD,CP0044,CA,payout,settled,D0011
T000806,A0024,C0024,2025-10-11T02:00:00+00:00,inbound,402.2,USD,CP0003,PA,card,settled,D0046
T001583,A0047,C0047,2025-10-11T03:00:00+00:00,outbound,1159.36,USD,CP0045,US,ach,settled,D0048
T001689,A0051,C0051,2025-10-11T04:00:00+00:00,outbound,537.13,USD,CP0104,US,ach,settled,D0033
T001566,A0046,C0046,2025-10-11T05:00:00+00:00,outbound,933.84,USD,CP0115,CA,payout,settled,D0030
T000418,A0012,C0012,2025-10-11T05:00:00+00:00,inbound,1663.13,USD,CP0093,US,card,settled,D0048
T002728,A0088,C0088,2025-10-11T06:00:00+00:00,outbound,744.43,USD,CP0148,US,p2p,refund,D0013
T001118,A0034,C0034,2025-10-11T06:00:00+00:00,inbound,1091.27,USD,CP0054,GB,card,settled,D0008
T000964,A0029,C0029,2025-10-11T07:00:00+00:00,inbound,1477.09,GBP,CP0118,US,p2p,settled,D0014
T000621,A0019,C0019,2025-10-11T08:00:00+00:00,outbound,970.47,USD,CP0015,US,wire,settled,D0024
T003770,A0119,C0119,2025-10-11T09:00:00+00:00,inbound,1290.64,CAD,CP0139,US,card,settled,D0016
T002008,A0062,C0062,2025-10-11T09:00:00+00:00,outbound,646.75,USD,CP0092,US,p2p,settled,D0035
