alert_id,customer_id,typology_family,observation_end,rule_ids,max_rule_severity,evidence_count,rule_result_ids,evidence_transaction_ids,alert_version
ALERT-FB6E807432D4,C0067,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-6073AE2BB0FA,T002183;T002186,ALERT-CONSOLIDATION-1.0
ALERT-C5B5761CF3F4,C0070,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-B47C9F5F7046,T002249;T002250,ALERT-CONSOLIDATION-1.0
ALERT-A182906451B3,C0071,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-8350DC907136,T002261;T002279;T002280,ALERT-CONSOLIDATION-1.0
ALERT-4904270DB6BF,C0073,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-241A6687D90C,T002321;T002325;T002339;T002343,ALERT-CONSOLIDATION-1.0
ALERT-D0C43F5F3981,C0075,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-1A15AC9DF54C,T002404;T002409,ALERT-CONSOLIDATION-1.0
ALERT-8F1C1F5A001F,C0077,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-377B2043C08C,T002473;T002487,ALERT-CONSOLIDATION-1.0
ALERT-2BD75F28D063,C0081,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-46F0FB4966E4,T002573;T002577,ALERT-CONSOLIDATION-1.0
ALERT-33045545426E,C0082,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-619C62BBB8CF,T002594;T002610,ALERT-CONSOLIDATION-1.0
ALERT-49F4C40B41DE,C0084,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-D7452347E62B,T002640;T002641;T002645;T002650;T002657,ALERT-CONSOLIDATION-1.0
ALERT-CC30B474F664,C0085,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-B769C42647E7,T002664;T002666;T002678,ALERT-CONSOLIDATION-1.0
ALERT-D1631371527E,C0087,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-CB4C05288D58,T002715;T002716,ALERT-CONSOLIDATION-1.0
ALERT-AF331D6A4D99,C0088,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-52E7A3E6ADB0,T002735;T002739;T002742,ALERT-CONSOLIDATION-1.0
ALERT-2485890046BE,C0090,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-4BED34AD1729,T002790;T002810;T002813;T002828,ALERT-CONSOLIDATION-1.0
ALERT-70699203250E,C0092,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-6FC2098F85F3,T002880;T002882;T002924;T002925,ALERT-CONSOLIDATION-1.0
ALERT-448121AA95F7,C0092,pass_through,2026-03-31T23:59:59+00:00,TM-FLOW-001,4,9,RR-F04081F6FA24,T002880;T002882;T002895;T002897;T002909;T002915;T002924;T002925;T002927,ALERT-CONSOLIDATION-1.0
ALERT-0A515B28A250,C0093,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-B169E9B2C0F8,T002943;T002947;T002954,ALERT-CONSOLIDATION-1.0
ALERT-E5259A817310,C0094,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-ED6A4427A95F,T002974;T002989;T002993,ALERT-CONSOLIDATION-1.0
ALERT-721FCF09D545,C0097,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-A171D06A11DE,T003052;T003053;T003064;T003068,ALERT-CONSOLIDATION-1.0
ALERT-B33E828E839E,C0098,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-358BCEF44ABE,T003095;T003097;T003106;T003112,ALERT-CONSOLIDATION-1.0
ALERT-8CBABEA38901,C0100,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-1D39C81113D9,T003150;T003153,ALERT-CONSOLIDATION-1.0
ALERT-66F5C902DD53,C0102,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-FCE3FB767257,T003196;T003202;T003216;T003223;T003224,ALERT-CONSOLIDATION-1.0
ALERT-7612B2F4BAD8,C0103,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-CB1342392A8F,T003245;T003248,ALERT-CONSOLIDATION-1.0
ALERT-EE70D7A7D0CA,C0104,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-3F828319BBFF,T003266;T003273,ALERT-CONSOLIDATION-1.0
ALERT-0AF17A8B2FDF,C0106,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-E53407431688,T003301;T003326,ALERT-CONSOLIDATION-1.0
ALERT-B60EC127FB51,C0107,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-07649928E828,T003335;T003341;T003342;T003357,ALERT-CONSOLIDATION-1.0
ALERT-6B745004BDEA,C0108,high_risk_geography,2026-03-31T23:59:59+00:00,TM-GEO-001,3,5,RR-498978C3933E,T003385;T003387;T003395;T003403;T003405,ALERT-CONSOLIDATION-1.0
ALERT-362A12315F12,C0108,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-63B18158CA43,T003368;T003381;T003385;T003387;T003403,ALERT-CONSOLIDATION-1.0
ALERT-53452709C242,C0110,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-4525C4AB4483,T003490;T003505,ALERT-CONSOLIDATION-1.0
ALERT-2F69F45E3EB8,C0111,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-71D391D680FB,T003518;T003534;T003542,ALERT-CONSOLIDATION-1.0
ALERT-75B64C369239,C0112,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-6F24D9B847ED,T003549;T003564;T003569,ALERT-CONSOLIDATION-1.0
ALERT-AA8910049FC1,C0117,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-691A9E8A2846,T003703;T003709,ALERT-CONSOLIDATION-1.0
ALERT-BE25409B6626,C0118,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-7A3151A76324,T003734;T003762,ALERT-CONSOLIDATION-1.0
ALERT-15875728B088,C0119,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-96AA5B386558,T003772;T003780;T003783,ALERT-CONSOLIDATION-1.0
ALERT-A58FC259A668,C0120,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-F51CFB8DD04A,T003798;T003817;T003821,ALERT-CONSOLIDATION-1.0
