customer_id,behavioral_crr_score,behavioral_crr_tier,behavioral_reason_codes,crr_version
C0062,59.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0063,43.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0064,29.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0065,37.0,low,high_risk_geo_activity,CRR-BEH-1.0
C0066,55.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0067,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0068,43.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0069,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0070,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0071,33.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0072,33.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0073,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0074,59.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0075,33.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0076,33.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0077,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0078,45.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0079,45.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0080,43.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0081,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0082,69.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0083,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0084,47.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0085,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0086,39.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0087,59.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0088,51.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0089,43.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0090,53.0,medium,high_risk_geo_activity,CRR-BEH-1.0
C0091,61.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0092,37.0,low,high_risk_geo_activity,CRR-BEH-1.0
C0093,47.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0094,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0095,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0096,41.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0097,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0098,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0099,39.0,low,high_risk_geo_activity,CRR-BEH-1.0
C0100,45.0,medium,activity_above_expected,CRR-BEH-1.0
C0101,41.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0102,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0103,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0104,51.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0105,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0106,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0107,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0108,57.0,medium,high_risk_geo_activity,CRR-BEH-1.0
C0109,29.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0110,51.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0111,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0112,79.0,high,no_behavioral_elevation,CRR-BEH-1.0
C0113,29.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0114,59.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0115,93.0,high,no_behavioral_elevation,CRR-BEH-1.0
C0116,29.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0117,55.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0118,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0119,29.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0120,45.0,medium,no_behavioral_elevation,CRR-BEH-1.0
